date,steps,distance,runDistance,calories
2022-12-04,0,0,0,0
2022-12-05,0,0,0,0
2022-12-06,4648,4252,3815,265
2022-12-07,0,0,0,0
2022-12-08,6995,6487,5983,402
2022-12-09,0,0,0,0
2022-12-10,0,0,0,0
2022-12-11,37,26,9,1
2022-12-12,0,0,0,0
2022-12-13,9072,8558,8085,550
2022-12-14,76,54,12,2
2022-12-15,9415,8826,8339,555
2022-12-16,0,0,0,0
2022-12-17,10109,9295,8470,565
2022-12-18,0,0,0,0
2022-12-19,14088,12634,10887,713
2022-12-20,1396,971,79,33
2022-12-21,0,0,0,0
2022-12-22,0,0,0,0
2022-12-23,0,0,0,0
2022-12-24,0,0,0,0
2022-12-25,0,0,0,0
2022-12-26,0,0,0,0
2022-12-27,0,0,0,0
2022-12-28,0,0,0,0
2022-12-29,0,0,0,0
2022-12-30,0,0,0,0
2022-12-31,0,0,0,0
2023-01-01,0,0,0,0
2023-01-25,0,0,0,0
2023-01-26,0,0,0,0
2023-01-27,0,0,0,0
2023-01-28,6392,5720,5057,331
2023-01-29,0,0,0,0
2023-01-30,10543,9727,9195,601
2023-01-31,0,0,0,0
2023-02-01,10550,9797,9210,610
2023-02-02,0,0,0,0
2023-02-03,0,0,0,0
2023-02-04,0,0,0,0
2023-02-05,0,0,0,0
2023-02-06,0,0,0,0
2023-02-07,0,0,0,0
2023-02-08,0,0,0,0
2023-02-09,0,0,0,0
2023-02-10,0,0,0,0
2023-02-11,0,0,0,0
2023-02-12,0,0,0,0
2023-02-13,21976,21046,20322,1362
2023-02-14,218,152,27,4
2023-02-15,0,0,0,0
2023-02-16,0,0,0,0
2023-02-17,0,0,0,0
