type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
1,2023-02-13 11:31:17+0000,7677,2.2988505,0.21272069,22141.0,0.346687,1870.0
1,2023-02-13 11:29:24+0000,3976,5.15,0.213,12594.0,0.315,893.0
1,2023-02-13 11:19:43+0000,77,2.217295,0.3671072,188.0,0.40293446,15.0
8,2023-02-01 12:57:38+0000,187,0.72,0.416,354.0,0.527,28.0
1,2023-02-01 12:06:49+0000,3018,1.719,0.401,5689.0,0.53,523.0
8,2023-01-30 14:52:15+0000,1568,1.398,0.414,3020.0,0.519,317.0
1,2023-01-30 14:10:23+0000,2480,1.719,0.421,4822.0,0.514,458.0
1,2023-01-28 15:03:14+0000,2347,2.149,0.421,4445.0,0.527,373.0
1,2023-01-28 15:02:31+0000,2405,4.219409,0.27041644,5875.0,0.40913463,494.0
1,2023-01-25 07:40:36+0000,3296,4.0,0.25920165,8919.0,0.36953366,762.0
1,2023-01-23 09:16:27+0000,4467,9.708738,0.24449877,11596.0,0.38512683,981.0
1,2023-01-21 13:53:57+0000,4703,2.2883296,0.108766586,11071.0,0.4247106,895.0
1,2023-01-19 12:04:53+0000,2852,2.2075055,0.29472443,7206.0,0.39560172,604.0
1,2023-01-03 16:23:00+0000,2391,1.7761989,0.24189648,5684.0,0.42063186,485.0
1,2022-12-28 14:30:15+0000,4910,9.615384,0.08408307,10112.0,0.4855464,740.0
1,2022-12-25 13:55:43+0000,2455,2.9585798,0.28296548,5328.0,0.46058235,462.0
1,2022-12-22 13:32:52+0000,3175,7.29927,0.28587765,3889.0,0.81604314,307.0
8,2022-12-19 13:56:51+0000,457,1.273,0.116,882.0,0.518,82.0
1,2022-12-19 12:39:25+0000,3818,2.114,0.431,7034.0,0.542,594.0
1,2022-12-17 10:16:04+0000,3947,2.819,0.409,7504.0,0.525,639.0
1,2022-12-15 13:40:14+0000,3689,2.114,0.372,7231.0,0.51,768.0
1,2022-12-13 13:18:51+0000,2594,1.692,0.395,5097.0,0.508,477.0
1,2022-12-08 13:51:07+0000,2533,1.692,0.41,5014.0,0.505,437.0
1,2022-12-06 14:19:46+0000,1777,1.692,0.398,3375.0,0.526,268.0
1,2022-12-03 14:13:23+0000,3031,1.4326648,0.26462027,6845.0,0.44263756,583.0
1,2022-11-29 14:28:29+0000,2114,2.5575447,0.2754062,4795.0,0.44063646,407.0
1,2022-11-23 07:14:22+0000,2587,4.032258,0.26028112,6500.0,0.39795786,558.0
1,2022-11-21 07:10:20+0000,2871,4.424779,0.2844141,6348.0,0.45221698,541.0
1,2022-11-17 14:33:04+0000,3430,4.3290043,0.32509753,5246.0,0.65379715,449.0
1,2022-11-15 12:12:04+0000,2838,4.255319,0.10532968,47867.0,0.059288695,7.0
1,2022-11-12 14:15:52+0000,1816,2.6666667,0.27277687,4190.0,0.43337762,361.0
1,2022-10-25 10:01:20+0000,36,1.8214935,0.30478513,100.0,0.35684142,8.0
1,2022-10-25 09:58:01+0000,31,1.3908206,0.26116478,101.0,0.29521093,6.0
1,2022-10-25 08:27:42+0000,1306,3.1446543,0.28694406,2862.0,0.45587525,238.0
1,2022-10-14 16:01:46+0000,3372,3.1746032,0.26532236,3913.0,0.86157346,300.0
1,2022-10-12 14:32:10+0000,1562,2.4213076,0.26802465,3835.0,0.40720686,333.0
